"site","url","nonobs","short_url"
"apostrophe.ua","https://apostrophe.ua/news/society/accidents/2018-06-08/v-kryimu-na-ulitse-zametili-proukrainskuyu-nadpis-opublikovano-foto/132563","Ненадійне джерело інформації","http://bit.ly/2ySswLF"
"znaj.ua","http://znaj.ua/popcorn/strashno-vyhodyty-na-vulycyu-odeska-barbi-narikaye-na-nelegku-dolyu","Ненадійне джерело інформації","http://bit.ly/2yNvz7w"
"gordonua.com","http://gordonua.com/news/worldnews/rossiyskiy-politolog-ne-rossiyu-isklyuchili-iz-bolshoy-vosmerki-a-oni-sami-vse-sem-gosudarstv-vyshli-iz-g8-250059.html","Ненадійне джерело інформації","http://bit.ly/2yLQ8Bc"
"enovosty.com","http://news.enovosty.com/news_society/full/806-v-mariupole-u-pyanoj-zhenshhiny-otobrali-22-sobaki-foto","Недостовірна новина","http://bit.ly/2yIXoxY"
"telegraf.com.ua","https://telegraf.com.ua/dom-i-sad/4104843-neobyichnyie-doma-so-vsego-mira-kotoryie-vas-tochno-udivyat-foto.html","Ненадійне джерело інформації","http://bit.ly/2yGmQEg"
"kp.ua","https://kp.ua/politics/610129-hrytsenko-yzdevaetsia-nad-muraevym","Ненадійне джерело інформації","http://bit.ly/2PC9IqR"
"facenews.ua","http://facenews.ua/news/2018/409549/","Ненадійне джерело інформації","http://bit.ly/2yIaTxY"
"kp.ua","https://kp.ua/culture/610130-madonna-obiavyla-chto-vykhodyt-zamuzh","Ненадійне джерело інформації","http://bit.ly/2yKnwsp"
"vesti.ru","http://vesti.ru/doc.html?id=3026413&cid=6","Недостовірна новина","http://bit.ly/2PEyhDA"
"znaj.ua","http://znaj.ua/society/masko-ya-tebe-znayu-scho-mi-prihovu%D1%94mo-za-virazom-oblichchya","Недостовірна новина","http://bit.ly/2PCHbl9"
"politeka.net","https://politeka.net/news/society/665177-bjut-szadi-po-golove-v-kieve-uchastilis-massovye-napadenija-prestupnikov-ne-pojmat/","Ненадійне джерело інформації","http://bit.ly/2yJEE1b"
"hvylya.net","http://hvylya.net/news/digest/kreml-hochet-zamenit-rukovodstvo-boevikov-tyimchuk.html","Ненадійне джерело інформації","http://bit.ly/2yNvzo2"
"newsone.ua","http://newsone.ua/news/society/budu-nevestoj-madonna-zaintrihovala-svoikh-poklonnikov-foto-v-svadebnom-plate.html","Недостовірна новина","http://bit.ly/2yGmUE0"
"podrobnosti.ua","http://podrobnosti.ua/2245213-poroshenko-nazval-organizatsii-kotorye-delegirujut-ekspertov-dlja-antikorruptsionnogo-suda.html","Ненадійне джерело інформації","http://bit.ly/2yJWb9H"
"podrobnosti.ua","http://podrobnosti.ua/2245225-grojsman-trebuet-proverki-skandalnyh-sverh-premij-rukovodostva-naftogaza.html","Недостовірна новина","http://bit.ly/2yFacp0"
"facenews.ua","http://facenews.ua/news/2018/409561/","Ненадійне джерело інформації","http://bit.ly/2yIXrd8"
"zik.ua","http://zik.ua/news/2018/06/08/medyky_rozvinchaly_populyarni_mify_pro_pravyla_gigiieny_1341959","Ненадійне джерело інформації","http://bit.ly/2yMEuX8"
"telegraf.com.ua","https://telegraf.com.ua/kultura/kino/4104913-film-pipets-poluchit-perezagruzku-ot-mettyu-von-a-kingsman-spin-offyi.html","Ненадійне джерело інформації","http://bit.ly/2yIeCvj"
"kp.ru","http://kp.ru/daily/26840.7/3881132/","Недостовірна новина","http://bit.ly/2yIeBHL"
"telegraf.com.ua","https://telegraf.com.ua/zhizn/zdorove/4104881-lekarstva-v-plastikovoy-upakovke-nebezopasnyi.html","Недостовірна новина","http://bit.ly/2yIaUSy"
"zik.ua","http://zik.ua/news/2018/06/09/groshey_vse_menshe_tymchuk_nazvav_seryozni_problemy_u_kremlya_z_boyovykamy_1341981","Ненадійне джерело інформації","http://bit.ly/2yJBD0X"
"comments.ua","http://comments.ua/life/623562-prints-garri-poyavilsya-publike-bez-zheni.html","Недостовірна новина","http://bit.ly/2yJBElx"
"ria.ru","http://ria.ru/society/20180609/1522398108.html","Ненадійне джерело інформації","http://bit.ly/2PEzgDM"
"unn.com.ua","http://unn.com.ua/uk/news/1735134-yuventus-za-12-mln-yevro-pridbav-vorotarya-zbirnoyi-italiyi","Недостовірна новина","http://bit.ly/2yJBDOv"
"comments.ua","http://comments.ua/health/623591-uchenie-zayavili-opasneyshem-viruse.html","Недостовірна новина","http://bit.ly/2yJBE51"
"telegraf.com.ua","https://telegraf.com.ua/nauka/4105022-uchenyie-sozdali-plazmu-temperaturoy-v-15-millionov-gradusov-tselsiya.html","Недостовірна новина","http://bit.ly/2yMkwvm"
"glavcom.ua","http://glavcom.ua/news/madonna-shokuvala-fanativ-zayavivshi-shcho-vihodit-zamizh-503942.html","Ненадійне джерело інформації","http://bit.ly/2yMkwLS"
"comments.ua","http://comments.ua/life/623604-madonna-shokirovala-novostyu-zamuzhestve.html","Ненадійне джерело інформації","http://bit.ly/2PAbj0t"
"from-ua.com","http://from-ua.com/news/447390-britni-spirs-v-krovati-s-sinom-pokazala-idealnuyu-figuru-foto.html","Ненадійне джерело інформації","http://bit.ly/2yJBCKr"
"facenews.ua","http://facenews.ua/news/2018/409607/","Ненадійне джерело інформації","http://bit.ly/2yLQM1A"
"znaj.ua","http://znaj.ua/popcorn/fedoryn-den-9-chervnya-chogo-kategorychno-ne-mozhna-robyty","Недостовірна новина","http://bit.ly/2yIYTMC"
